primary_type,hour,weekday,count
CRIMINAL DAMAGE,21,Tuesday,3693
CRIMINAL DAMAGE,21,Wednesday,3661
CRIMINAL DAMAGE,22,Friday,4637
CRIMINAL DAMAGE,22,Monday,3855
CRIMINAL DAMAGE,22,Saturday,4839
CRIMINAL DAMAGE,22,Sunday,4282
CRIMINAL DAMAGE,22,Thursday,3894
CRIMINAL DAMAGE,22,Tuesday,3788
CRIMINAL DAMAGE,22,Wednesday,3938
CRIMINAL DAMAGE,23,Friday,3838
CRIMINAL DAMAGE,23,Monday,3014
CRIMINAL DAMAGE,23,Saturday,4389
CRIMINAL DAMAGE,23,Sunday,3434
CRIMINAL DAMAGE,23,Thursday,3080
CRIMINAL DAMAGE,23,Tuesday,3028
CRIMINAL DAMAGE,23,Wednesday,3054
NARCOTICS,0,Friday,1383
NARCOTICS,0,Monday,1180
NARCOTICS,0,Saturday,1612
NARCOTICS,0,Sunday,1363
NARCOTICS,0,Thursday,1240
NARCOTICS,0,Tuesday,1256
NARCOTICS,0,Wednesday,1335
NARCOTICS,1,Friday,657
NARCOTICS,1,Monday,645
NARCOTICS,1,Saturday,856
NARCOTICS,1,Sunday,785
NARCOTICS,1,Thursday,665
NARCOTICS,1,Tuesday,623
NARCOTICS,1,Wednesday,661
NARCOTICS,2,Friday,384
NARCOTICS,2,Monday,397
NARCOTICS,2,Saturday,546
NARCOTICS,2,Sunday,466
NARCOTICS,2,Thursday,381
NARCOTICS,2,Tuesday,334
NARCOTICS,2,Wednesday,371
NARCOTICS,3,Friday,230
NARCOTICS,3,Monday,203
NARCOTICS,3,Saturday,323
NARCOTICS,3,Sunday,291
NARCOTICS,3,Thursday,216
NARCOTICS,3,Tuesday,191
NARCOTICS,3,Wednesday,186
NARCOTICS,4,Friday,133
NARCOTICS,4,Monday,108
NARCOTICS,4,Saturday,165
NARCOTICS,4,Sunday,157
NARCOTICS,4,Thursday,103
NARCOTICS,4,Tuesday,95
NARCOTICS,4,Wednesday,100
NARCOTICS,5,Friday,69
NARCOTICS,5,Monday,47
NARCOTICS,5,Saturday,79
NARCOTICS,5,Sunday,87
NARCOTICS,5,Thursday,62
NARCOTICS,5,Tuesday,44
NARCOTICS,5,Wednesday,66
NARCOTICS,6,Friday,426
NARCOTICS,6,Monday,452
NARCOTICS,6,Saturday,165
NARCOTICS,6,Sunday,129
NARCOTICS,6,Thursday,585
NARCOTICS,6,Tuesday,497
NARCOTICS,6,Wednesday,517
NARCOTICS,7,Friday,489
NARCOTICS,7,Monday,307
NARCOTICS,7,Saturday,370
NARCOTICS,7,Sunday,325
NARCOTICS,7,Thursday,482
NARCOTICS,7,Tuesday,332
NARCOTICS,7,Wednesday,396
NARCOTICS,8,Friday,915
NARCOTICS,8,Monday,695
NARCOTICS,8,Saturday,787
NARCOTICS,8,Sunday,648
NARCOTICS,8,Thursday,951
NARCOTICS,8,Tuesday,763
NARCOTICS,8,Wednesday,748
NARCOTICS,9,Friday,1419
NARCOTICS,9,Monday,998
NARCOTICS,9,Saturday,1228
NARCOTICS,9,Sunday,916
NARCOTICS,9,Thursday,1298
NARCOTICS,9,Tuesday,1039
NARCOTICS,9,Wednesday,1130
NARCOTICS,10,Friday,2631
NARCOTICS,10,Monday,2155
NARCOTICS,10,Saturday,2203
NARCOTICS,10,Sunday,1888
NARCOTICS,10,Thursday,2469
NARCOTICS,10,Tuesday,2245
NARCOTICS,10,Wednesday,2358
NARCOTICS,11,Friday,3547
NARCOTICS,11,Monday,2875
NARCOTICS,11,Saturday,2793
NARCOTICS,11,Sunday,2578
NARCOTICS,11,Thursday,3209
NARCOTICS,11,Tuesday,3159
NARCOTICS,11,Wednesday,3323
NARCOTICS,12,Friday,3066
NARCOTICS,12,Monday,2502
NARCOTICS,12,Saturday,2313
NARCOTICS,12,Sunday,2237
NARCOTICS,12,Thursday,3063
NARCOTICS,12,Tuesday,2906
NARCOTICS,12,Wednesday,3066
NARCOTICS,13,Friday,2668
NARCOTICS,13,Monday,2370
NARCOTICS,13,Saturday,2071
NARCOTICS,13,Sunday,1904
NARCOTICS,13,Thursday,2788
NARCOTICS,13,Tuesday,2743
NARCOTICS,13,Wednesday,2784
NARCOTICS,14,Friday,2450
NARCOTICS,14,Monday,2249
NARCOTICS,14,Saturday,1962
NARCOTICS,14,Sunday,1609
NARCOTICS,14,Thursday,2612
NARCOTICS,14,Tuesday,2609
NARCOTICS,14,Wednesday,2688
NARCOTICS,15,Friday,2238
NARCOTICS,15,Monday,2020
NARCOTICS,15,Saturday,1769
NARCOTICS,15,Sunday,1606
